,BindingScore_action,BindingScore_tone,TTB,vn0,vn1,vn2,group,channel
0,0.036370076369265,0.13890090223499002,0.002530825865725,6.953749999999999,4.33875,5.61875,1,AF
1,-0.0559357772003967,0.04787930413426191,0.0038150813346586,6.8275,5.44,5.20125,1,AF
2,-0.0689233692758803,0.0434834475140263,0.0124068167899066,7.0024999999999995,4.06875,4.31875,1,AF
3,-0.0008864870262756,-0.017708526907250402,0.0168220398809748,6.73,5.25875,7.21375,1,AF
4,-0.0204207658845692,-0.0481977732874693,0.0277770074029001,6.83375,5.3149999999999995,6.9525,1,AF
5,0.0153519681691152,0.0502627061847153,0.0349107380156001,6.83,4.675,6.37875,1,AF
6,0.0165107882619027,-0.0190174599882285,0.0355282482501312,6.6075,5.765,5.9525,1,AF
7,0.0333821884971616,0.0694785118519802,0.0360963233548186,6.55625,5.921250000000001,7.063750000000001,1,AF
8,-0.0070158432815147,0.0346519845399093,0.041667827821424,6.715,5.84125,6.59375,1,AF
9,-0.0539449263587388,0.017469783814147398,0.0714147101728862,6.905,5.30625,6.35,1,AF
10,-0.0517793629231032,0.021835138939887005,0.0736145018629902,6.59875,6.005,6.4725,1,AF
11,-0.0184679433052219,0.05527666039882119,0.0737446037040431,6.954285714285715,4.32,7.394285714285714,1,AF
12,-0.103086145030608,-0.01632504082879581,0.0867611042018122,6.9075,4.90125,5.03,1,AF
13,0.0600084888639679,-0.033750866180448404,0.0937593550444163,6.962000000000001,5.326,4.7219999999999995,1,AF
14,0.0130296241854949,0.109228353308642,0.0961987291231471,6.66625,5.7425,5.46,1,AF
15,0.1332272505105035,0.129406207351865,0.103,6.8475,5.1075,4.83875,1,AF
16,-0.027984478332753,0.0841781698204905,0.1121626481532435,6.6825,5.18,5.60375,1,AF
17,0.0237571247143536,0.1359296047328246,0.112172480018471,6.795714285714285,5.43,5.781428571428571,1,AF
18,-0.0585683187211494,0.05661794908953201,0.1151862678106814,6.78875,5.335,6.61875,1,AF
19,0.132855299047128,-0.08397597941146051,0.117,7.041666666666667,3.8083333333333336,5.19,1,AF
20,-0.0538597871143551,0.0652962913821122,0.1191560784964673,6.77125,5.4712499999999995,6.37125,1,AF
21,0.1426613974329239,0.018986623760680693,0.1236747736722432,6.882857142857143,4.938571428571429,6.234285714285714,1,AF
22,0.0073762766024777,-0.1165139537964502,0.1238902303989279,6.76,5.2175,4.6575,1,AF
23,0.1427726110965954,0.10421027960221711,0.138,6.635,5.8475,6.03125,1,AF
24,0.2266572591408903,0.1416723735870552,0.184,6.93,4.7625,4.07875,1,AF
25,-0.1233805841722919,0.0685276873786297,0.1919082715509216,6.631428571428572,6.021428571428571,6.222857142857142,1,AF
26,0.2530148539517087,0.1556716588870268,0.197,6.9314285714285715,4.7628571428571425,5.7,1,AF
27,-0.1985611808476153,0.011433560187770309,0.2099947410353856,6.89125,4.755,4.69125,1,AF
28,-0.2130236399059232,-0.002827125087867005,0.2101965148180562,6.983750000000001,4.0375,5.03125,1,AF
29,-0.2475418364256838,0.0336581116197561,0.2811999480454399,6.81375,5.17125,5.1025,1,AF
30,-0.1805518479493416,0.10380388612175712,0.2843557340710987,7.0616666666666665,4.6433333333333335,5.908333333333334,1,AF
31,-0.0974490054006774,0.2029957209879128,0.3004447263885902,6.891249999999999,4.98,3.995,1,AF
